time,CAN_ID,CAN_byte[0],CAN_byte[1],CAN_byte[2],CAN_byte[3],CAN_byte[4],CAN_byte[5],CAN_byte[6],CAN_byte[7],RPM,Gear,BatteryVoltage,OilPressure,Speed,TPS,SteeringAngle,ECU_GForceLat,Lambda,MAP,FuelPressure,BrakePressure,EngineTemp,OilTemp,AirTemp,RadOutTemp,GPSlatHW,GPSlatLW,GPSlongHW,GPSlongLW,PneuDianteiroInner,PneuDianteiroCenter,PneuDianteiroOuter,PneuTraseiroInner,PneuTraseiroCenter,PneuTraseiroOuter
30,1010,8,6,3,5,9,7,9,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,205.4,77.3,231.1,231.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,1004,1,9,7,9,1,3,8,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,205.4,77.3,231.1,231.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92,1009,2,7,2,1,3,5,7,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,205.4,77.3,231.1,231.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
123,1005,9,8,8,3,6,2,9,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,205.4,77.3,231.1,231.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
154,1008,2,1,4,2,3,2,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,205.4,77.3,231.1,231.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
185,1007,3,5,7,5,9,3,8,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,205.4,77.3,231.1,231.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
216,1000,6,4,9,4,5,8,8,1,1540.0,2308.0,12.88,2.049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,205.4,77.3,231.1,231.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
247,1008,9,2,1,1,7,8,5,8,1540.0,2308.0,12.88,2.049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,205.4,77.3,231.1,231.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
278,1003,8,7,5,6,1,6,3,7,1540.0,2308.0,12.88,2.049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,205.4,77.3,231.1,231.3,2055.0,1286.0,262.0,775.0,0.0,0.0,0.0,0.0,0.0,0.0
309,1000,1,5,3,6,7,9,1,7,261.0,774.0,18.01,0.263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,205.4,77.3,231.1,231.3,2055.0,1286.0,262.0,775.0,0.0,0.0,0.0,0.0,0.0,0.0
340,1005,9,6,8,7,9,8,7,3,261.0,774.0,18.01,0.263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,205.4,77.3,231.1,231.3,2055.0,1286.0,262.0,775.0,0.0,0.0,0.0,0.0,0.0,0.0
372,1004,4,1,3,6,3,9,2,1,261.0,774.0,18.01,0.263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,205.4,77.3,231.1,231.3,2055.0,1286.0,262.0,775.0,0.0,0.0,0.0,0.0,0.0,0.0
403,1004,4,6,3,6,7,4,6,8,261.0,774.0,18.01,0.263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,205.4,77.3,231.1,231.3,2055.0,1286.0,262.0,775.0,0.0,0.0,0.0,0.0,0.0,0.0
434,1008,9,9,1,2,7,2,8,1,261.0,774.0,18.01,0.263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,205.4,77.3,231.1,231.3,2055.0,1286.0,262.0,775.0,0.0,0.0,0.0,0.0,0.0,0.0
465,1006,8,2,7,8,8,5,2,2,261.0,774.0,18.01,0.263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,205.4,77.3,231.1,231.3,2055.0,1286.0,262.0,775.0,0.0,0.0,0.0,0.0,0.0,0.0
496,1008,1,8,7,3,9,7,6,7,261.0,774.0,18.01,0.263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,205.4,77.3,231.1,231.3,2055.0,1286.0,262.0,775.0,0.0,0.0,0.0,0.0,0.0,0.0
527,1006,3,6,5,9,8,9,2,7,261.0,774.0,18.01,0.263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,205.4,77.3,231.1,231.3,2055.0,1286.0,262.0,775.0,0.0,0.0,0.0,0.0,0.0,0.0
558,1003,4,3,8,6,2,7,1,3,261.0,774.0,18.01,0.263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,205.4,77.3,231.1,231.3,1027.0,2054.0,519.0,259.0,0.0,0.0,0.0,0.0,0.0,0.0
589,1009,9,1,2,7,3,8,8,9,261.0,774.0,18.01,0.263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,205.4,77.3,231.1,231.3,1027.0,2054.0,519.0,259.0,0.0,0.0,0.0,0.0,0.0,0.0
620,1005,8,1,2,8,9,1,8,7,261.0,774.0,18.01,0.263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,205.4,77.3,231.1,231.3,1027.0,2054.0,519.0,259.0,0.0,0.0,0.0,0.0,0.0,0.0
651,1010,2,9,1,3,1,2,5,5,261.0,774.0,18.01,0.263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.1,25.9,25.8,128.5,1027.0,2054.0,519.0,259.0,0.0,0.0,0.0,0.0,0.0,0.0
683,1002,6,3,2,4,7,3,8,6,261.0,774.0,18.01,0.263,0.0,0.0,0.0,0.0,1.539,51.6,1.795,20.54,52.1,25.9,25.8,128.5,1027.0,2054.0,519.0,259.0,0.0,0.0,0.0,0.0,0.0,0.0
714,1002,4,4,8,9,3,7,1,8,261.0,774.0,18.01,0.263,0.0,0.0,0.0,0.0,1.028,205.7,0.775,2.64,52.1,25.9,25.8,128.5,1027.0,2054.0,519.0,259.0,0.0,0.0,0.0,0.0,0.0,0.0
745,1001,6,2,4,5,9,9,9,4,261.0,774.0,18.01,0.263,153.8,102.9,231.3,2.308,1.028,205.7,0.775,2.64,52.1,25.9,25.8,128.5,1027.0,2054.0,519.0,259.0,0.0,0.0,0.0,0.0,0.0,0.0
776,1003,8,8,1,5,3,6,1,4,261.0,774.0,18.01,0.263,153.8,102.9,231.3,2.308,1.028,205.7,0.775,2.64,52.1,25.9,25.8,128.5,2056.0,261.0,774.0,260.0,0.0,0.0,0.0,0.0,0.0,0.0
807,1007,5,1,4,8,5,9,6,5,261.0,774.0,18.01,0.263,153.8,102.9,231.3,2.308,1.028,205.7,0.775,2.64,52.1,25.9,25.8,128.5,2056.0,261.0,774.0,260.0,0.0,0.0,0.0,0.0,0.0,0.0
838,1003,7,2,1,2,9,6,2,4,261.0,774.0,18.01,0.263,153.8,102.9,231.3,2.308,1.028,205.7,0.775,2.64,52.1,25.9,25.8,128.5,1794.0,258.0,2310.0,516.0,0.0,0.0,0.0,0.0,0.0,0.0
869,1002,1,2,6,5,1,7,7,6,261.0,774.0,18.01,0.263,153.8,102.9,231.3,2.308,0.258,154.1,0.263,17.98,52.1,25.9,25.8,128.5,1794.0,258.0,2310.0,516.0,0.0,0.0,0.0,0.0,0.0,0.0
900,1003,6,1,1,1,6,4,2,6,261.0,774.0,18.01,0.263,153.8,102.9,231.3,2.308,0.258,154.1,0.263,17.98,52.1,25.9,25.8,128.5,1537.0,257.0,1540.0,518.0,0.0,0.0,0.0,0.0,0.0,0.0
931,1004,3,4,8,5,2,2,7,4,261.0,774.0,18.01,0.263,153.8,102.9,231.3,2.308,0.258,154.1,0.263,17.98,52.1,25.9,25.8,128.5,1537.0,257.0,1540.0,518.0,0.0,0.0,0.0,0.0,0.0,0.0
962,1008,4,9,6,6,7,4,7,9,261.0,774.0,18.01,0.263,153.8,102.9,231.3,2.308,0.258,154.1,0.263,17.98,52.1,25.9,25.8,128.5,1537.0,257.0,1540.0,518.0,0.0,0.0,0.0,0.0,0.0,0.0
993,1006,8,9,5,7,6,6,5,1,261.0,774.0,18.01,0.263,153.8,102.9,231.3,2.308,0.258,154.1,0.263,17.98,52.1,25.9,25.8,128.5,1537.0,257.0,1540.0,518.0,0.0,0.0,0.0,0.0,0.0,0.0
1024,1008,9,4,5,4,5,6,1,3,261.0,774.0,18.01,0.263,153.8,102.9,231.3,2.308,0.258,154.1,0.263,17.98,52.1,25.9,25.8,128.5,1537.0,257.0,1540.0,518.0,0.0,0.0,0.0,0.0,0.0,0.0
1055,1001,7,1,9,5,8,9,7,4,261.0,774.0,18.01,0.263,179.3,230.9,205.7,1.796,0.258,154.1,0.263,17.98,52.1,25.9,25.8,128.5,1537.0,257.0,1540.0,518.0,0.0,0.0,0.0,0.0,0.0,0.0
1086,1010,1,8,3,7,7,3,6,3,261.0,774.0,18.01,0.263,179.3,230.9,205.7,1.796,0.258,154.1,0.263,17.98,26.4,77.5,179.5,153.9,1537.0,257.0,1540.0,518.0,0.0,0.0,0.0,0.0,0.0,0.0
1117,1006,6,2,6,1,7,1,3,9,261.0,774.0,18.01,0.263,179.3,230.9,205.7,1.796,0.258,154.1,0.263,17.98,26.4,77.5,179.5,153.9,1537.0,257.0,1540.0,518.0,0.0,0.0,0.0,0.0,0.0,0.0
