LOG,CORRECTED
t,time
CAN_ID,CAN_ID
CAN_byte[0],CAN_byte[0]
CAN_byte[1],CAN_byte[1]
CAN_byte[2],CAN_byte[2]
CAN_byte[3],CAN_byte[3]
CAN_byte[4],CAN_byte[4]
CAN_byte[5],CAN_byte[5]
CAN_byte[6],CAN_byte[6]
CAN_byte[7],CAN_byte[7]
A_1,A_1
A_2,LVDTFL
A_3,LVDTRR
A_4,A_4
A_5,A_5
A_6,A_6
A_7,LVDTRL
A_8,LVDTFR
A_9,A_9
A_1_map,A_1_map
A_2_map,LVDTFLmap
A_3_map,LVDTRRmap
A_4_map,A_4_map
A_5_map,A_5_map
A_6_map,A_6_map
A_7_map,LVDTRLmap
A_8_map,LVDTFRmap
A_9_map,A_9_map
O_1,O_1
O_2,O_2
O_3,O_3
accel_x,GForceLat
accel_y,GForceLong
accel_z,GForceVert
gyro_x,gyro_X
gyro_y,gyro_Y
gyro_z,gyro_z
ncuTemp,ncuTemp
atmelTemp,atmelTemp
sd_bps,sd_bps
fileSize,fileSize
max_enable,max_enable
tk_1,TKRR
tk_2,TKFL
tk_3,TKRL
tk_4,TKFR
tk_5,